name,type,mana_cost,power,toughness,rarity,colors,text
Jolly Gerbils,Creature — Hamster Citizen,{1}{W},2,3,uncommon,W,"Whenever you give a gift, draw a card."
Lifecreed Duo,Creature — Bat Bird,{1}{W},1,2,common,W,"Flying
Whenever another creature you control enters, you gain 1 life."
Mabel's Mettle,Instant,{1}{W},,,uncommon,W,Target creature gets +2/+2 until end of turn. Up to one other target creature gets +1/+1 until end of turn.
Mouse Trapper,Creature — Mouse Soldier,{2}{W},3,2,uncommon,W,"Flash
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, tap target creature an opponent controls."
Nettle Guard,Creature — Mouse Soldier,{1}{W},3,1,common,W,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, it gets +0/+2 until end of turn.
{1}, Sacrifice this creature: Destroy target artifact or enchantment."
Parting Gust,Instant,{W}{W},,,uncommon,W,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Exile target nontoken creature. If the gift wasn't promised, return that card to the battlefield under its owner's control with a +1/+1 counter on it at the beginning of the next end step."
Pileated Provisioner,Creature — Bird Scout,{4}{W},3,4,common,W,"Flying
When this creature enters, put a +1/+1 counter on target creature you control without flying."
Rabbit Response,Instant,{2}{W}{W},,,common,W,"Creatures you control get +2/+1 until end of turn. If you control a Rabbit, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)"
Repel Calamity,Instant,{1}{W},,,uncommon,W,Destroy target creature with power or toughness 4 or greater.
Salvation Swan,Creature — Bird Cleric,{3}{W},3,3,rare,W,"Flash
Flying
Whenever this creature or another Bird you control enters, exile up to one target creature you control without flying. Return it to the battlefield under its owner's control with a flying counter on it at the beginning of the next end step."
Season of the Burrow,Sorcery,{3}{W}{W},,,mythic,W,"Choose up to five {P} worth of modes. You may choose the same mode more than once.
{P} — Create a 1/1 white Rabbit creature token.
{P}{P} — Exile target nonland permanent. Its controller draws a card.
{P}{P}{P} — Return target permanent card with mana value 3 or less from your graveyard to the battlefield with an indestructible counter on it."
Seasoned Warrenguard,Creature — Rabbit Warrior,{W},1,2,uncommon,W,"Whenever this creature attacks while you control a token, this creature gets +2/+0 until end of turn."
Shrike Force,Creature — Bird Knight,{2}{W},1,3,uncommon,W,"Flying, double strike, vigilance"
Sonar Strike,Instant,{1}{W},,,common,W,"Sonar Strike deals 4 damage to target attacking, blocking, or tapped creature. You gain 3 life if you control a Bat."
Star Charter,Creature — Bat Cleric,{3}{W},3,1,uncommon,W,"Flying
At the beginning of your end step, if you gained or lost life this turn, look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Starfall Invocation,Sorcery,{3}{W}{W},,,rare,W,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Destroy all creatures. If the gift was promised, return a creature card put into your graveyard this way to the battlefield under your control."
Thistledown Players,Creature — Mouse Bard,{2}{W},3,3,common,W,"Whenever this creature attacks, untap target nonland permanent."
Valley Questcaller,Creature — Rabbit Warrior,{1}{W},2,3,rare,W,"Whenever one or more other Rabbits, Bats, Birds, and/or Mice you control enter, scry 1.
Other Rabbits, Bats, Birds, and Mice you control get +1/+1."
Warren Elder,Creature — Rabbit Cleric,{1}{W},2,2,common,W,{3}{W}: Creatures you control get +1/+1 until end of turn.
Warren Warleader,Creature — Rabbit Knight,{2}{W}{W},4,4,mythic,W,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you attack, choose one —
• Create a 1/1 white Rabbit creature token that's tapped and attacking.
• Attacking creatures you control get +1/+1 until end of turn."
Wax-Wane Witness,Creature — Bat Cleric,{3}{W},2,4,common,W,"Flying, vigilance
Whenever you gain or lose life during your turn, this creature gets +1/+0 until end of turn."
Whiskervale Forerunner,Creature — Mouse Bard,{3}{W},3,4,rare,W,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, look at the top five cards of your library. You may reveal a creature card with mana value 3 or less from among them. You may put it onto the battlefield if it's your turn. If you don't put it onto the battlefield, put it into your hand. Put the rest on the bottom of your library in a random order."
Azure Beastbinder,Creature — Rat Rogue,{1}{U},1,3,rare,U,"Vigilance
This creature can't be blocked by creatures with power 2 or greater.
Whenever this creature attacks, up to one target artifact, creature, or planeswalker an opponent controls loses all abilities until your next turn. If it's a creature, it also has base power and toughness 2/2 until your next turn."
Bellowing Crier,Creature — Frog Advisor,{1}{U},2,1,common,U,"When this creature enters, draw a card, then discard a card."
Calamitous Tide,Sorcery,{4}{U}{U},,,uncommon,U,"Return up to two target creatures to their owners' hands. Draw two cards, then discard a card."
Daring Waverider,Creature — Otter Wizard,{4}{U}{U},4,4,uncommon,U,"When this creature enters, you may cast target instant or sorcery card with mana value 4 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead."
Dazzling Denial,Instant,{1}{U},,,common,U,"Counter target spell unless its controller pays {2}. If you control a Bird, counter that spell unless its controller pays {4} instead."
Dire Downdraft,Instant,{3}{U},,,common,U,"This spell costs {1} less to cast if it targets an attacking or tapped creature.
Target creature's owner puts it on their choice of the top or bottom of their library."
Dour Port-Mage,Creature — Frog Wizard,{1}{U},1,3,rare,U,"Whenever one or more other creatures you control leave the battlefield without dying, draw a card.
{1}{U}, {T}: Return another target creature you control to its owner's hand."
Eddymurk Crab,Creature — Elemental Crab,{5}{U}{U},5,5,uncommon,U,"Flash
This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
This creature enters tapped if it's not your turn.
When this creature enters, tap up to two target creatures."
"Eluge, the Shoreless Sea",Legendary Creature — Elemental Fish,{1}{U}{U}{U},*,*,mythic,U,"Eluge's power and toughness are each equal to the number of Islands you control.
Whenever Eluge enters or attacks, put a flood counter on target land. It's an Island in addition to its other types for as long as it has a flood counter on it.
The first instant or sorcery spell you cast each turn costs {U} (or {1}) less to cast for each land you control with a flood counter on it."
Finch Formation,Creature — Bird Scout,{2}{U},2,2,common,U,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
When this creature enters, target creature you control gains flying until end of turn."
Gossip's Talent,Enchantment — Class,{1}{U},,,uncommon,U,"(Gain the next level as a sorcery to add its ability.)
Whenever a creature you control enters, surveil 1.
{1}{U}: Level 2
Whenever you attack, target attacking creature with power 3 or less can't be blocked this turn.
{3}{U}: Level 3
Whenever a creature you control deals combat damage to a player, you may exile it, then return it to the battlefield under its owner's control."
Into the Flood Maw,Instant,{U},,,uncommon,U,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Return target creature an opponent controls to its owner's hand. If the gift was promised, instead return target nonland permanent an opponent controls to its owner's hand."
Kitnap,Enchantment — Aura,{2}{U}{U},,,rare,U,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, when it enters, they draw a card.)
Enchant creature
When this Aura enters, tap enchanted creature. If the gift wasn't promised, put three stun counters on it.
You control enchanted creature."
"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,{1}{U},1,3,mythic,U,"Vigilance
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
{T}: Draw a card, then discard a card.
{2}, {T}: Copy target instant or sorcery spell you control. You may choose new targets for the copy. Activate only if Kitsa's power is 3 or greater."
Knightfisher,Creature — Bird Knight,{3}{U}{U},4,5,uncommon,U,"Flying
Whenever another nontoken Bird you control enters, create a 1/1 blue Fish creature token."
Long River Lurker,Creature — Frog Scout,{2}{U},2,3,uncommon,U,"Ward {1}
Other Frogs you control have ward {1}.
When this creature enters, target creature you control can't be blocked this turn. Whenever that creature deals combat damage this turn, you may exile it. If you do, return it to the battlefield under its owner's control."
Long River's Pull,Instant,{U}{U},,,uncommon,U,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Counter target creature spell. If the gift was promised, instead counter target spell."
Mind Spiral,Sorcery,{4}{U},,,common,U,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Target player draws three cards. If the gift was promised, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Mindwhisker,Creature — Rat Wizard,{2}{U},3,2,uncommon,U,"At the beginning of your upkeep, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Threshold — As long as there are seven or more cards in your graveyard, creatures your opponents control get -1/-0."
Mockingbird,Creature — Bird Bard,{X}{U},1,1,rare,U,"Flying
You may have this creature enter as a copy of any creature on the battlefield with mana value less than or equal to the amount of mana spent to cast this creature, except it's a Bird in addition to its other types and it has flying."
Nightwhorl Hermit,Creature — Rat Rogue,{2}{U},1,4,common,U,"Vigilance
Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+0 and can't be blocked."
Otterball Antics,Sorcery,{1}{U},,,uncommon,U,"Create a 1/1 blue and red Otter creature token with prowess. If this spell was cast from anywhere other than your hand, put a +1/+1 counter on that creature. (Whenever you cast a noncreature spell, a creature with prowess gets +1/+1 until end of turn.)
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
